"scalar_flux","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.9998,0,1,6.16,6.16,8,0
9.9998,0,1,6.17,6.17,8,0
9.9998,0,1,6.18,6.18,8,0
9.9998,0,1,6.19,6.19,8,0
9.9998,0,1,6.2,6.2,8,0
9.9998,0,1,6.21,6.21,8,0
9.9998,0,1,6.22,6.22,8,0
9.9998,0,1,6.23,6.23,8,0
9.9998,0,1,6.24,6.24,8,0
9.9998,0,1,6.25,6.25,8,0
9.9998,0,1,6.26,6.26,8,0
9.9998,0,1,6.27,6.27,8,0
9.9998,0,1,6.28,6.28,8,0
9.9998,0,1,6.29,6.29,8,0
9.9998,0,1,6.3,6.3,8,0
9.9998,0,1,6.31,6.31,8,0
9.9998,0,1,6.32,6.32,8,0
9.9998,0,1,6.33,6.33,8,0
9.9998,0,1,6.34,6.34,8,0
9.9998,0,1,6.35,6.35,8,0
9.9998,0,1,6.36,6.36,8,0
9.9998,0,1,6.37,6.37,8,0
9.9998,0,1,6.38,6.38,8,0
9.9998,0,1,6.39,6.39,8,0
9.9998,0,1,6.4,6.4,8,0
9.9998,0,1,6.41,6.41,8,0
9.9998,0,1,6.42,6.42,8,0
9.9998,0,1,6.43,6.43,8,0
9.9998,0,1,6.44,6.44,8,0
9.9999,0,1,6.45,6.45,8,0
9.9999,0,1,6.46,6.46,8,0
9.9999,0,1,6.47,6.47,8,0
9.9999,0,1,6.48,6.48,8,0
9.9999,0,1,6.49,6.49,8,0
9.9999,0,1,6.5,6.5,8,0
9.9999,0,1,6.51,6.51,8,0
9.9999,0,1,6.52,6.52,8,0
9.9999,0,1,6.53,6.53,8,0
9.9999,0,1,6.54,6.54,8,0
9.9999,0,1,6.55,6.55,8,0
9.9999,0,1,6.56,6.56,8,0
9.9999,0,1,6.57,6.57,8,0
9.9999,0,1,6.58,6.58,8,0
9.9999,0,1,6.59,6.59,8,0
9.9999,0,1,6.6,6.6,8,0
9.9999,0,1,6.61,6.61,8,0
9.9999,0,1,6.62,6.62,8,0
9.9999,0,1,6.63,6.63,8,0
9.9999,0,1,6.64,6.64,8,0
9.9999,0,1,6.65,6.65,8,0
9.9999,0,1,6.66,6.66,8,0
9.9999,0,1,6.67,6.67,8,0
9.9999,0,1,6.68,6.68,8,0
9.9999,0,1,6.69,6.69,8,0
9.9999,0,1,6.7,6.7,8,0
9.9999,0,1,6.71,6.71,8,0
9.9999,0,1,6.72,6.72,8,0
9.9999,0,1,6.73,6.73,8,0
9.9999,0,1,6.74,6.74,8,0
9.9999,0,1,6.75,6.75,8,0
9.9999,0,1,6.76,6.76,8,0
9.9999,0,1,6.77,6.77,8,0
9.9999,0,1,6.78,6.78,8,0
9.9999,0,1,6.79,6.79,8,0
9.9999,0,1,6.8,6.8,8,0
9.9999,0,1,6.81,6.81,8,0
9.9999,0,1,6.82,6.82,8,0
9.9999,0,1,6.83,6.83,8,0
9.9999,0,1,6.84,6.84,8,0
9.9999,0,1,6.85,6.85,8,0
9.9999,0,1,6.86,6.86,8,0
9.9999,0,1,6.87,6.87,8,0
9.9999,0,1,6.88,6.88,8,0
9.9999,0,1,6.89,6.89,8,0
9.9999,0,1,6.9,6.9,8,0
9.9999,0,1,6.91,6.91,8,0
9.9999,0,1,6.92,6.92,8,0
9.9999,0,1,6.93,6.93,8,0
9.9999,0,1,6.94,6.94,8,0
9.9999,0,1,6.95,6.95,8,0
9.9999,0,1,6.96,6.96,8,0
9.9999,0,1,6.97,6.97,8,0
9.9999,0,1,6.98,6.98,8,0
9.9999,0,1,6.99,6.99,8,0
9.9999,0,1,7,7,8,0
9.9999,0,1,7.01,7.01,8,0
9.9999,0,1,7.02,7.02,8,0
9.9999,0,1,7.03,7.03,8,0
9.9999,0,1,7.04,7.04,8,0
9.9999,0,1,7.05,7.05,8,0
9.9999,0,1,7.06,7.06,8,0
9.9999,0,1,7.07,7.07,8,0
9.9999,0,1,7.08,7.08,8,0
9.9999,0,1,7.09,7.09,8,0
9.9999,0,1,7.1,7.1,8,0
9.9999,0,1,7.11,7.11,8,0
9.9999,0,1,7.12,7.12,8,0
9.9999,0,1,7.13,7.13,8,0
9.9999,0,1,7.14,7.14,8,0
9.9999,0,1,7.15,7.15,8,0
9.9999,0,1,7.16,7.16,8,0
9.9999,0,1,7.17,7.17,8,0
9.9999,0,1,7.18,7.18,8,0
9.9999,0,1,7.19,7.19,8,0
9.9999,0,1,7.2,7.2,8,0
9.9999,0,1,7.21,7.21,8,0
9.9999,0,1,7.22,7.22,8,0
9.9999,0,1,7.23,7.23,8,0
9.9999,0,1,7.24,7.24,8,0
9.9999,0,1,7.25,7.25,8,0
9.9999,0,1,7.26,7.26,8,0
9.9999,0,1,7.27,7.27,8,0
9.9999,0,1,7.28,7.28,8,0
9.9999,0,1,7.29,7.29,8,0
9.9999,0,1,7.3,7.3,8,0
9.9999,0,1,7.31,7.31,8,0
9.9999,0,1,7.32,7.32,8,0
