"scalar_flux","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,1,7.21,7.21,5,0
1,0,1,7.22,7.22,5,0
1,0,1,7.23,7.23,5,0
1,0,1,7.24,7.24,5,0
1,0,1,7.25,7.25,5,0
1,0,1,7.26,7.26,5,0
1,0,1,7.27,7.27,5,0
1,0,1,7.28,7.28,5,0
1,0,1,7.29,7.29,5,0
1,0,1,7.3,7.3,5,0
1,0,1,7.31,7.31,5,0
1,0,1,7.32,7.32,5,0
1,0,1,7.33,7.33,5,0
1,0,1,7.34,7.34,5,0
1,0,1,7.35,7.35,5,0
1,0,1,7.36,7.36,5,0
1,0,1,7.37,7.37,5,0
1,0,1,7.38,7.38,5,0
1,0,1,7.39,7.39,5,0
1,0,1,7.4,7.4,5,0
1,0,1,7.41,7.41,5,0
1,0,1,7.42,7.42,5,0
1,0,1,7.43,7.43,5,0
1,0,1,7.44,7.44,5,0
1,0,1,7.45,7.45,5,0
1,0,1,7.46,7.46,5,0
1,0,1,7.47,7.47,5,0
1,0,1,7.48,7.48,5,0
